PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Cabins
829.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,367228.0,7.75,0.0,2.0
397.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,350407.0,7.8542,1.0,2.0
223.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,21440.0,8.05,1.0,2.0
279.0,0.0,3.0,2.0,0.0,3.0,4.0,1.0,382652.0,29.125,0.0,2.0
689.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,350036.0,7.7958,1.0,2.0
526.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,367232.0,7.75,0.0,2.0
647.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,349231.0,7.8958,1.0,2.0
885.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,392076.0,7.05,1.0,2.0
548.0,1.0,2.0,3.0,0.0,8.0,0.0,0.0,2146.0,13.8625,2.0,2.0
551.0,1.0,1.0,0.0,0.0,9.0,0.0,2.0,17421.0,110.8833,2.0,1.0
634.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,112052.0,0.0,1.0,2.0
701.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,17757.0,227.525,2.0,1.0
57.0,1.0,2.0,1.0,1.0,11.0,0.0,0.0,31026.0,10.5,1.0,2.0
550.0,1.0,2.0,2.0,0.0,12.0,1.0,1.0,33112.0,36.75,1.0,2.0
379.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,2648.0,4.0125,2.0,2.0
402.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,341826.0,8.05,1.0,2.0
143.0,1.0,3.0,4.0,1.0,15.0,1.0,0.0,3101279.0,15.85,1.0,2.0
243.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,14263.0,10.5,1.0,2.0
787.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0,3101265.0,7.4958,1.0,2.0
239.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,28665.0,10.5,1.0,2.0
884.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,34068.0,10.5,1.0,2.0
323.0,1.0,2.0,1.0,1.0,18.0,0.0,0.0,234818.0,12.35,0.0,2.0
419.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,28228.0,13.0,1.0,2.0
147.0,1.0,3.0,0.0,0.0,19.0,0.0,0.0,350043.0,7.7958,1.0,2.0
94.0,0.0,3.0,0.0,0.0,14.0,1.0,2.0,2315.0,20.575,1.0,2.0
673.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,24580.0,10.5,1.0,2.0
696.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,248731.0,13.5,1.0,2.0
865.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,233866.0,13.0,1.0,2.0
342.0,1.0,1.0,1.0,1.0,15.0,3.0,2.0,19950.0,263.0,1.0,1.0
455.0,0.0,3.0,0.0,0.0,22.0,0.0,0.0,2817.0,8.05,1.0,2.0
772.0,0.0,3.0,0.0,0.0,23.0,0.0,0.0,350047.0,7.8542,1.0,2.0
589.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,14973.0,8.05,1.0,2.0
717.0,1.0,1.0,1.0,1.0,25.0,0.0,0.0,17757.0,227.525,2.0,1.0
352.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,113510.0,35.0,1.0,1.0
653.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,8475.0,8.4333,1.0,2.0
698.0,1.0,3.0,1.0,1.0,27.0,0.0,0.0,35852.0,7.7333,0.0,2.0
440.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,18723.0,10.5,1.0,2.0
852.0,0.0,3.0,0.0,0.0,28.0,0.0,0.0,347060.0,7.775,1.0,2.0
300.0,1.0,1.0,4.0,1.0,29.0,0.0,1.0,17558.0,247.5208,2.0,2.0
708.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0,17476.0,26.2875,1.0,3.0
353.0,0.0,3.0,0.0,0.0,31.0,1.0,1.0,2695.0,7.2292,2.0,2.0
141.0,0.0,3.0,4.0,1.0,32.0,0.0,2.0,2678.0,15.2458,2.0,2.0
314.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,349243.0,7.8958,1.0,2.0
180.0,0.0,3.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,2.0
88.0,0.0,3.0,0.0,0.0,34.0,0.0,0.0,392086.0,8.05,1.0,2.0
381.0,1.0,1.0,1.0,1.0,30.0,0.0,0.0,17757.0,227.525,2.0,2.0
403.0,0.0,3.0,1.0,1.0,11.0,1.0,0.0,4137.0,9.825,1.0,2.0
190.0,0.0,3.0,0.0,0.0,33.0,0.0,0.0,349247.0,7.8958,1.0,2.0
33.0,1.0,3.0,1.0,1.0,35.0,0.0,0.0,335677.0,7.75,0.0,2.0
107.0,1.0,3.0,1.0,1.0,11.0,0.0,0.0,343120.0,7.65,1.0,2.0
75.0,1.0,3.0,0.0,0.0,36.0,0.0,0.0,1601.0,56.4958,1.0,2.0
511.0,1.0,3.0,0.0,0.0,16.0,0.0,0.0,382651.0,7.75,0.0,2.0
517.0,1.0,2.0,4.0,1.0,37.0,0.0,0.0,34260.0,10.5,1.0,4.0
262.0,1.0,3.0,2.0,0.0,38.0,4.0,2.0,347077.0,31.3875,1.0,2.0
111.0,0.0,1.0,0.0,0.0,39.0,0.0,0.0,110465.0,52.0,1.0,1.0
235.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,29566.0,10.5,1.0,2.0
788.0,0.0,3.0,2.0,0.0,12.0,4.0,1.0,382652.0,29.125,0.0,2.0
68.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,3464.0,8.1583,1.0,2.0
702.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0,17475.0,26.2875,1.0,3.0
677.0,0.0,3.0,0.0,0.0,41.0,0.0,0.0,342826.0,8.05,1.0,2.0
